,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
21,12 O'Clock,-1958.0,132 min,"Crime, Drama, Mystery",7.2,72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala
22,12 O'Clock,-2021.0,105 min,"Horror, Thriller",4.4,63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil
23,12 Years,,,Biography,,,Sohail Tatari,,,
24,124a,-2021.0,,Documentary,,,Varrun Sukhraj,,,
25,127 B,-2017.0,116 min,"Comedy, Horror",6.6,26,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik
26,13 May Gulaabi Nagar,-2010.0,,Action,,,N.K. Pareek,Nirmal Pandey,Khushi Rajpoot,Raj Singh Verma
27,13 Tribute of Love,-2020.0,66 min,Drama,,,Rahul Tiwari,Rahul Tiwari Adhiyari,Anil Arora,Asima Bhatt
28,13B: Fear Has a New Address,-2009.0,146 min,"Drama, Horror, Mystery",7.3,"6,329",Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon
29,14 Phere,-2021.0,,Comedy,,,Devanshu Singh,Vikrant Massey,Kriti Kharbanda,Gauahar Khan
30,15 Park Avenue,-2005.0,116 min,Drama,7.1,"1,002",Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose
31,150 Seconds Ago,-2002.0,112 min,,,,Batul Mukhtiar,,,
32,15th August,-1993.0,168 min,Drama,5.6,15,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor
33,16-Dec,-2002.0,158 min,"Action, Thriller",6.9,"1,235",Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover
34,18.11,-2014.0,126 min,Action,3.5,10,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari
35,1857,-1946.0,,"Drama, History",5.0,8,Mohan Sinha,Nigar Sultana,Suraiya,Menaka Devi
36,19 Revolutions,-2004.0,94 min,Drama,4.5,16,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey
37,1911,,,"Drama, History, Sport",,,Nikkhil Advani,John Abraham,,
38,1920,-2008.0,138 min,"Horror, Mystery, Romance",6.4,"3,100",Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh
39,1920 London,-2016.0,120 min,"Horror, Mystery",4.1,"1,559",Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal
40,1920: Evil Returns,-2012.0,124 min,"Drama, Horror, Romance",4.8,"1,811",Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan
41,1921,-2018.0,144 min,"Horror, Mystery, Romance",4.5,"1,069",Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt
42,1942: A Love Story,-1994.0,157 min,"Action, Drama, History",7.2,"3,223",Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala
43,1971,-2007.0,136 min,"Action, Drama, War",8.1,"1,892",Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal
44,1978: A Teen Night Out,-2019.0,107 min,Thriller,4.0,20,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam
45,1982 - A Love Marriage,-2017.0,113 min,Comedy,5.5,106,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal
46,19th January,-2014.0,,Drama,7.3,16,Sanjay Amar,Mumtaz Ahmed,Bidita Bag,Madhuri Bhatia
47,2 Band Radio,-2019.0,,Comedy,,,Saki Shah,Bilal Ahamad Bhagat,Neelu Dogra,Rahat Kazmi
48,2 GB Ki Life,,,Drama,,,,,,
49,2 Little Indians,-2013.0,,"Comedy, Family",5.6,14,Ravi Bhatia,Ravi Bhatia,Ronak Bhatia,Kamal Chopra
50,2 Nights in Soul Valley,-2012.0,80 min,"Adventure, Horror, Mystery",6.8,21,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma
51,02-Oct,-2003.0,122 min,"Action, Crime, Thriller",5.0,33,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika
52,2 Piece,-2005.0,,Drama,,,Kishan Shah,Ramesh Goyal,Satnam Kaur,Anil Nagrath
53,2 States,-2014.0,149 min,"Comedy, Drama, Romance",6.9,"24,034",Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh
54,2,-2018.0,148 min,"Action, Sci-Fi",6.2,"21,938",S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson
55,2001: Do Hazaar Ek,-1998.0,149 min,"Crime, Mystery, Thriller",3.5,112,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu
56,2006 Varanasi: The Untold,-2018.0,,Drama,,,Aryeman Ramsay,Mukul Dev,Rahul Dev,Ravi Kishan
57,2007 the last encounter,-2018.0,,Drama,,,Partha Sarkar,Bidita Bag,Sameer Dharmadhikari,Jatin Goswami
58,2016 the End,-2017.0,130 min,Comedy,6.1,94,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda
59,21: Battle of Saragarhi,,,War,,,Rajkumar Santoshi,Randeep Hooda,Vikramjeet Virk,Nitin Chauhan
60,22 Days,-2018.0,124 min,Thriller,6.1,8,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh
61,22 June 1897,-1979.0,121 min,"Drama, History",7.7,52,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit
62,22 Yards,-2019.0,126 min,Sport,6.1,361,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor
63,23rd March 1931: Shaheed,-2002.0,188 min,"Biography, Drama, History",5.1,642,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh
64,24 Ghante,-1998.0,,Thriller,,,Tinnu Anand,Bharat Kapoor,Goga Kapoor,Amrit Pal
65,25th July,-1951.0,,,7.6,5,Chitra Mitra,,,
66,26-Jan,-1956.0,,,6.6,7,Ramesh Saigal,Ajit,,
67,26th January,-1956.0,,Drama,,,Ramesh Saigal,Ajit,Nalini Jaywant,Leela Mishra
68,26th July at Barista,-2008.0,,Drama,3.1,32,Mohan Sharma,Ajita,Himani Chawla,Sumeet Chawla
69,27 Down,-1974.0,115 min,Drama,6.9,194,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher
70,3 AM: A Paranormal Experience,-2014.0,103 min,"Horror, Romance",5.0,514,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier
71,3 Bachelors,-2012.0,114 min,"Comedy, Romance",3.3,165,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan
72,3 Days 4 Nights in Bihar,-2020.0,,Comedy,,,Abhishek Dogra,Jackky Bhagnani,Sharman Joshi,Ruslaan Mumtaz
73,3 Deewarein,-2003.0,115 min,"Crime, Drama",7.8,"2,322",Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla
74,3 Dev,-2019.0,122 min,Comedy,6.9,35,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur
75,3 Idiots,-2009.0,170 min,"Comedy, Drama",8.4,"3,57,889",Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh
76,3 Nights 4 Days,-2009.0,,"Drama, Romance",5.2,23,Devang Dholakia,Sameer Aftab,Hrishitaa Bhatt,Anuj Sahani
77,3 Shyaane,-2020.0,,Comedy,,,Anees Barudwale,Asrani,Rakesh Bedi,Priyanshu Chatterjee
78,3 Storeys,-2018.0,100 min,Drama,6.9,358,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha
79,3.0 Megapixel,-2015.0,99 min,"Adventure, Drama",4.3,6,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar
80,30 Days,-2004.0,,Horror,5.0,14,Ravi Sinha,Abhay Bhargava,Milind Gunaji,Dinesh Hingoo
81,30 Minutes,-2016.0,,Thriller,4.8,26,Yesudas,Rana Jung Bahadur,Hrishitaa Bhatt,Shiva Kumar
82,31st October,-2015.0,109 min,"Action, Drama, History",5.8,238,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle
83,340,-2009.0,,Thriller,4.6,9,Suryaprakash Lakkoju,Ragesh Asthana,Iqbal Azad,Ahsaas Channa
84,36 China Town,-2006.0,140 min,"Comedy, Mystery, Thriller",5.7,"4,373",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor
85,36 Chowringhee Lane,-1981.0,122 min,"Drama, Romance",7.5,392,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy
86,36 Ghante,-1974.0,,"Action, Crime, Drama",6.7,128,Raj Tilak,Raaj Kumar,Mala Sinha,Sunil Dutt
87,376 D,-2020.0,128 min,"Crime, Thriller",5.7,252,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi
88,377 AbNormal,-2019.0,93 min,Drama,5.6,93,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub
89,3D Saamri,-1985.0,102 min,Horror,5.6,80,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta
90,3G: A Killer Connection,-2013.0,125 min,"Horror, Sci-Fi, Thriller",3.6,"1,128",Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan
91,3rd EYE,-2019.0,145 min,Horror,6.3,6,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi
92,3rd November,-2016.0,,Horror,,,Vasant Narkar,Minakshi Bhagat,Pragya Chahar,Kabir Khan
93,4 Sum,,96 min,"Crime, Drama, Thriller",,,Neeraj Gwal,Pranav Chandrakar,Yashwant Anand Gupta,Neeraj Uke
94,404: Error Not Found,-2011.0,121 min,"Drama, Mystery, Thriller",7.3,"2,548",Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat
95,417 Miles,-2016.0,75 min,Drama,4.8,9,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob
96,42 Kms.,-2009.0,,"Drama, Sport",3.9,14,Nisha Chainani,Mandira Bedi,Bikram Saluja,Sammir Dattani
97,498A-The Wedding Gift,-2012.0,113 min,"Drama, Family, Musical",7.8,21,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik
98,4pm on the Court,-2011.0,115 min,Sport,,,Shine Krishna,Ashish Bhatia,Naveen Kaushik,Vinay Sharma
99,5 Ghantey Mien 5 Crore,-2012.0,111 min,Thriller,5.7,75,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan
100,5 Rifles,-1974.0,134 min,"Action, Comedy",6.5,36,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar
101,5 Rifles,-2001.0,,Action,,,Hemant Birje,Anu Kashyap,Raza Murad,Paintal
102,5 Rupees,-2018.0,,,,,Piyush Panjuani,Shabana Azmi,Yohaan Panjuani,
103,50 Lakh,-2007.0,,"Comedy, Thriller",6.5,82,Chandra Sekhar Yeleti,Pawan Malhotra,Mohit Chadha,Veerendra Chauhan
104,500 Ka Note,-2002.0,,Thriller,,,Tinnu Anand,Birbal,Chandrashekhar,Siddharth Dhawan
105,5ters: Castle of Dark Master,-2011.0,110 min,"Action, Adventure, Fantasy",4.6,19,G. Venugopal,Akash,Avinash,Gagan
106,6.40 PM,-1967.0,,,5.4,5,Mani Kaul,,,
107,6387 Meters Black Peak,-2020.0,85 min,Documentary,,,Kovid Mittal,Kovid Mittal,,
108,64 Kaam Kalayen,-2002.0,,Thriller,,,Hemant Birje,Ankush Mohite,Kirti Rawal,
109,6-5=2,-2014.0,104 min,Horror,4.2,171,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari
110,68 Pages,-2007.0,92 min,Drama,6.2,31,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia
111,69 Opposites Attract,-2011.0,96 min,Comedy,,,Amit r Agarwal,Amit r Agarwal,Kiran Kaur,
112,69 Reality in Us,,,"Drama, Romance, Thriller",,,Samir Khan,,,
113,7 1/2 Phere: More Than a Wedding,-2005.0,136 min,"Comedy, Drama",5.3,281,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa
114,7 Bijliyaan,-1988.0,126 min,Action,5.0,7,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan
115,7 Days,-1995.0,,"Action, Drama",3.4,10,Sunil Kumar,Arvind Singh,Channa Ruparel,Avtar Gill
116,7 Hours to Go,-2016.0,115 min,"Crime, Thriller",5.7,398,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt
117,7 Islands and a Metro,-2006.0,100 min,Documentary,6.2,10,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash
118,7 Khoon Maaf,-2011.0,137 min,"Drama, Mystery, Thriller",6.1,"5,640",Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh
119,7 Saal Baad,-1987.0,127 min,"Drama, Horror, Musical",4.1,34,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol
120,706,-2019.0,120 min,Thriller,5.3,449,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta
121,72 Hours: Martyr Who Never Died,-2019.0,130 min,"Action, Biography, Drama",5.3,249,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin
122,777 Charlie,,136 min,"Adventure, Comedy, Drama",,,Kiranraj K,Rakshit Shetty,Charlie,Sangeetha Sringeri
123,7th Villa,-2018.0,125 min,Horror,,,Ajay Arak,Meenal Chauhan,Mansi Sharma,Vinit
124,8 PM: A Murder Mystery,-2008.0,,Mystery,,,Sunil Bhojwani,Krishna Abhishek,Ramesh Bachwani,Dravika
125,8 x 10 Tasveer,-2009.0,122 min,"Action, Fantasy, Mystery",5.4,"5,459",Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey
126,8119 Miles,-2021.0,115 min,"Adventure, Drama, Mystery",6.6,21,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert
127,'83,-2021.0,150 min,"Biography, Drama, History",,,Kabir Khan,Ranveer Singh,Deepika Padukone,Tahir Raj Bhasin
128,88 Antop Hill,-2003.0,119 min,"Mystery, Thriller",4.7,66,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai
129,9 O' Clock,-2017.0,124 min,Action,5.3,9,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat
130,9 Roads 2 Peace,,,Adventure,,,Virendra Rathore,,,
131,9 to 12,-2011.0,115 min,"Drama, Musical, Thriller",,,Ashok Patil,Nimisha Baby,Venkatesh Chakravarthy,Kishore Kumar G.
132,99,-2009.0,135 min,"Comedy, Crime, Drama",7.3,"2,767",Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani
133,99 Songs,-2019.0,128 min,"Musical, Romance",7.4,"1,901",Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha
134,99.9 FM,-2005.0,90 min,"Crime, Drama",4.8,38,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra
135,A Ballad of Maladies,-2016.0,86 min,"Documentary, Music",,,Sarvnik Kaur,Tushar Madhav,,
136,A Ballad of Maladies,-2016.0,86 min,"Documentary, History, Music",,,Sarvnik Kaur,Tushar Madhav,,
137,A Billion Colour Story,-2016.0,105 min,Drama,8.1,412,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki
138,A Biopic from the Film Industry,-2019.0,,Drama,,,Sarkar Sahith,Suman Rana,Hari Vishnu,
139,A Call from the Past,-2016.0,76 min,"Drama, Fantasy, Mystery",,,Ajay Jain,Vidhu Rashmi Jain,Ashok Banthia,Bharat Ratna Bhargava
140,A Cold Plan,-2021.0,,Thriller,,,Sanjay Raj,Ansh Chaturvedi,Jigyasa Tiwari,Anurag Bhardwaj
141,A Daughter's Dream,-2014.0,,"Drama, Family, Sport",,,Manto Pashupatinath,Bhavana Singh Chauhan,Akhilendra Mishra,Abhilash Narain
142,A Daughter's Tale PANKH,-2017.0,145 min,Drama,6.3,10,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad
143,A Death in the Gunj,-2016.0,110 min,"Drama, Thriller",7.5,"4,637",Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah
144,A Dream Document,-2016.0,70 min,Documentary,,,Rupak Das,,,
145,A Far Afternoon: a Painted Saga by Krishen Khanna,-2015.0,72 min,"Documentary, Biography",7.7,10,Sruti Harihara Subramanian,,,
146,A Film by Aravind,-2005.0,150 min,"Horror, Mystery",6.8,179,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi
147,A Flat,-2010.0,103 min,"Drama, Horror, Romance",4.5,202,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney
148,A Flying Jatt,-2016.0,151 min,"Action, Adventure, Comedy",3.0,"4,145",Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones
149,A Game Called Relationship,-2020.0,109 min,"Comedy, Romance",6.3,181,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri
150,A Gentleman,-2017.0,145 min,"Action, Comedy",6.2,"5,227",Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez
151,A Gift of Love: Sifar,-2019.0,95 min,"Drama, Romance",8.0,33,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai
152,A Handful of Grain,-1959.0,92 min,Drama,,,Mehboob Khan,,,
153,A Journey of Samyak Buddha,-2013.0,127 min,Drama,7.3,17,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare
154,A Mermaid Called Aida,-1996.0,52 min,Documentary,6.4,7,Riyad Vinci Wadia,Aida Banaji,Ajay Mehta,
155,A Mistake (Ek Galti),-2021.0,,Thriller,,,Chand Mehta,Hrishitaa Bhatt,Gulshan Pandey,Jimmy Shergil
156,A New Love Ishtory,-2013.0,140 min,Romance,6.0,80,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar
157,A Night in Calcutta,-1970.0,,Drama,,,Amrit Mahendra,Master Bhagwan,Simi Garewal,Jagdev
158,A Rape Song,-2019.0,75 min,"Crime, Drama",,,Jacob Paul,Uday Bhan Mourya,Anjali Ujawane,
159,A Rifle and a Bag,-2020.0,89 min,Documentary,6.8,15,Cristina Hanes,Isabella Rinaldi,Arya Rothe,
160,A Scandall,-2016.0,112 min,Thriller,3.1,142,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul
161,A Separate Sky,-2021.0,,Drama,,,Raajhorshee De,Sayan Chakraborty,Sudiptaa Chakraborty,Ranita Das
162,A Sketch Killer: Who's Next,-1997.0,,Thriller,,,Vinod Alva,Kalyan Kumar,Raghuvaran,
163,A Small Family,-1976.0,,Documentary,,,Fali Bilimoria,,,
164,A Song for No One,,,"Comedy, Drama, Music",,,Arturo Alanis Garza,Kavya Trehan,Victoria Kuhne,
165,A Story of a Call Girl,-2000.0,,Thriller,,,Teerat Singh,Pinky Chinoy,Ali Khan,Anjali Kolhapuri
166,A Strange Love Story,-2011.0,,Drama,3.8,15,Tarique Khan,Sahil Seth,Gunjan Bakshi,Snehal Dabi
167,A Sublime Love Story: Barsaat,-2005.0,143 min,"Drama, Romance",3.8,627,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas
168,A Suitable Girl,-2017.0,90 min,Documentary,6.9,337,Sarita Khurana,Smriti Mundhra,Sima Taparia,
169,A Thin Line,-2019.0,104 min,Drama,7.9,24,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare
170,A Thursday,-2021.0,,"Drama, Thriller",,,Behzad Khambata,Dimple Kapadia,Yami Gautam,Neha Dhupia
171,A Treasure in the Snow,-2002.0,,Documentary,6.9,8,Goutam Ghose,,,
172,A Twist of Date,-2017.0,110 min,"Comedy, Horror, Mystery",,,Kashmera Shah,Kashmera Shah,,
173,A Wednesday,-2008.0,104 min,"Action, Crime, Drama",8.1,"75,118",Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill
174,A.R Rahman Encore Tour,-2017.0,,Musical,,,Deepak Gattani,A.R. Rahman,,
175,Aa Ab Laut Chalen,-1999.0,177 min,"Musical, Romance, Drama",5.5,"1,621",Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan
176,AA BB KK,-2018.0,121 min,Drama,8.0,249,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia
177,Aa Bhi Ja O Piya,-2021.0,140 min,"Family, Romance",,,Rajesh Harivansh Mishra,Abhijeet Lahiri,Akanksha Sinha,Mukul Nag
178,Aa Dekhen Zara,-2009.0,117 min,"Action, Sci-Fi, Thriller",5.0,866,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary
179,Aa Gale Lag Jaa,-1973.0,148 min,"Action, Drama, Romance",7.2,348,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha
180,Aa Gale Lag Jaa,-1994.0,158 min,"Mystery, Romance",4.4,115,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal
181,Aa Gaya Hero,-2017.0,123 min,Action,2.7,339,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey
182,Aa Jao Please,-2016.0,120 min,Drama,6.8,16,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya
183,Aaag Hi Aag,-1999.0,,Action,4.9,28,T.L.V. Prasad,Mithun Chakraborty,Jackie Shroff,Sneha
184,Aabra Ka Daabra,-2004.0,144 min,Fantasy,2.4,264,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik
185,Aabroo,-1956.0,,Romance,,,Chaturbhuj Doshi,Kamini Kaushal,Kishore Kumar,Madan Puri
186,Aabroo,-1968.0,170 min,"Comedy, Crime, Drama",5.5,21,C.L. Rawal,Ashok Kumar,Vimi,Rehman
187,Aabroo,-1943.0,,,5.2,5,Nazir,,,
188,Aabshar,-1953.0,,"Drama, Romance",5.0,5,Hasrat Lucknowi,Iftekhar,Kuldip Kaur,Raaj Kumar
189,Aadab Arz,-1943.0,,,5.2,5,V.C. Desai,Nalini Jaywant,Mukesh,
190,Aadab Hyderabad,-2007.0,104 min,,,,Sanjay Punjabi,,,
191,Aadamkhor,-1986.0,,Action,5.5,6,Joginder Shelly,Sona Mastan Mirza,Joginder Shelly,Neelam Mehra
192,Aadamkhor,-2018.0,72 min,Horror,7.4,150,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat
193,Aadamkhor Hasina,-2002.0,,Action,,,Salim Suma,Poonam Dasgupta,Raza Murad,Amit Pachori
194,Aadarniy Pitaji,-2020.0,,Family,,,Prashant Kumar,,,
195,Aadarsh,-1983.0,,Drama,,,,,,
196,Aadat,-1989.0,,,,,Dev Malhotra,Madhuri Mishra,Ashok Pandey,Reema Raj
197,Aadat Se Majboor,-1982.0,105 min,"Action, Crime, Drama",5.5,28,Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri
198,Aadha Din Aadhee Raat,-1977.0,132 min,Action,5.1,18,Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi
199,Aadhaar,-2019.0,107 min,Drama,7.6,69,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav
200,Aadhaar,-2004.0,,Drama,,,Shorya Veer Saagar,Saurabh Agnihotri,Aryan Harnot,Pooja Raawat
201,Aadharshila,-1982.0,154 min,Drama,6.4,19,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta
202,Aadhe Adhure,-1996.0,,Drama,,,Pooja Choudhary,Tushar Dalvi,Narendra Gupta,Rekha Purohit
203,Aadhi Bhagavan,-2013.0,157 min,"Action, Crime, Thriller",5.4,568,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran
204,"Aadhi Haqeeqat, Aadha Fasana",-1990.0,88 min,Documentary,,,Dilip Ghosh,,,
205,Aadhi Mimansa,-1991.0,,,6.2,9,Apurba Kishore Bir,Mohan Gokhale,Neena Gupta,Ashok Kumar
206,Aadhi Raat,-1957.0,,,,,Chandrakant,,,
207,Aadhi Raat,-1950.0,115 min,"Drama, Romance",6.7,9,S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur
208,Aadhi Raat,-1999.0,,Horror,,,Hriday Shankar,Manoj Bakshi,Satyendra Kapoor,Satnam Kaur
